[1, 3]
[4, 0]
[4, 2]
[7, 0]
[7, 4]
[7, 5]
[8, 3]
[9, 2]
[9, 6]
[11, 0]
[11, 1]
[12, 1]
[13, 3]
[16, 5]
[17, 5]
[26, 6]
[27, 3]
[31, 3]
[33, 2]
[33, 3]
[37, 2]
[39, 3]
[39, 4]
[42, 1]
[43, 0]
[43, 1]
[44, 0]
[44, 3]
[45, 0]
[46, 2]
[50, 1]
[50, 2]
[50, 3]
[52, 1]
[52, 3]
[54, 1]
[58, 3]
[60, 0]
[63, 2]
[63, 6]
[64, 1]
[65, 0]
[65, 2]
[65, 3]
[65, 4]
[66, 2]
[67, 1]
[67, 4]
[67, 5]
[67, 6]
[67, 7]
[67, 8]
[68, 4]
[69, 2]
[71, 2]
[72, 1]
[72, 2]
[74, 1]
[75, 0]
[75, 2]
[75, 3]
[75, 4]
[75, 5]
[76, 1]
[77, 2]
[77, 3]
[78, 1]
[79, 1]
[80, 4]
[82, 0]
[82, 1]
[84, 1]
[84, 2]
[84, 4]
[85, 0]
[86, 1]
[87, 6]
[89, 3]
[89, 5]
[90, 0]
[90, 4]
[90, 6]
[90, 9]
[93, 1]
[94, 2]
[99, 1]
[99, 2]
[103, 0]
[105, 1]
[106, 1]
[107, 1]
[108, 4]
[110, 1]
[110, 3]
[111, 0]
[111, 7]
[112, 1]
[118, 1]
[120, 0]
[121, 0]
[122, 2]
[125, 1]
[125, 3]
[127, 2]
[131, 0]
[132, 6]
[143, 4]
[153, 2]
[154, 8]
[156, 1]
[159, 7]
[159, 10]
[161, 3]
[162, 4]
[163, 1]
[164, 1]
[164, 3]
[165, 2]
[165, 3]
[165, 5]
[166, 3]
[167, 0]
[167, 1]
[168, 3]
[168, 6]
[169, 3]
[170, 2]
[170, 4]
[173, 0]
[173, 1]
[173, 3]
[176, 0]
[176, 1]
[176, 3]
[181, 0]
[181, 2]
[182, 0]
[185, 1]
[185, 5]
[187, 6]
[190, 0]
[191, 0]
[191, 1]
[191, 2]
[195, 3]
[196, 0]
[196, 4]
[196, 5]
[199, 0]
[202, 0]
[203, 1]
[203, 4]
[203, 7]
[205, 2]
[206, 2]
[207, 4]
[208, 1]
[210, 5]
[210, 7]
[211, 5]
[212, 1]
[212, 6]
[216, 4]
[217, 2]
[218, 0]
[219, 1]
[219, 3]
[219, 7]
[221, 3]
