[4, 1]
[6, 4]
[16, 1]
[19, 1]
[19, 2]
[20, 0]
[20, 1]
[20, 2]
[21, 1]
[22, 1]
[24, 0]
[24, 2]
[29, 0]
[29, 1]
[29, 3]
[30, 0]
[32, 2]
[33, 1]
[33, 2]
[37, 1]
[40, 1]
[47, 1]
[51, 3]
[51, 4]
[52, 0]
[53, 0]
[72, 1]
[74, 1]
[75, 2]
[75, 3]
[75, 5]
[76, 4]
[79, 0]
[80, 1]
[80, 2]
[80, 3]
[82, 0]
[82, 2]
[83, 2]
[83, 3]
[83, 4]
[89, 1]
[94, 1]
[95, 2]
[98, 0]
[98, 1]
[101, 0]
[101, 1]
[101, 3]
[105, 1]
[105, 3]
[107, 5]
[107, 7]
[107, 9]
[108, 0]
[108, 3]
[110, 2]
[113, 0]
[113, 1]
[114, 0]
[114, 1]
[114, 3]
[116, 1]
[116, 4]
[118, 0]
[119, 2]
[119, 3]
[119, 4]
[120, 3]
[121, 0]
[121, 1]
[122, 0]
[122, 1]
[122, 5]
[123, 0]
[126, 0]
[126, 2]
[127, 0]
[127, 2]
[128, 0]
[128, 1]
[128, 3]
[131, 0]
[134, 2]
[135, 1]
[136, 1]
[136, 2]
[136, 5]
[138, 0]
[138, 1]
[139, 1]
[140, 1]
[140, 2]
[141, 2]
[141, 4]
[142, 2]
[143, 3]
[144, 4]
[145, 4]
[146, 1]
[146, 2]
[148, 2]
[151, 0]
[151, 1]
[152, 0]
[152, 2]
[153, 0]
[154, 1]
[157, 0]
[157, 1]
[158, 4]
[158, 6]
[159, 2]
[165, 0]
[165, 1]
[166, 0]
[166, 1]
[166, 4]
[167, 0]
[168, 2]
[169, 1]
[169, 2]
[169, 5]
[169, 6]
[173, 0]
[173, 1]
[173, 2]
[173, 3]
[173, 4]
[175, 0]
[175, 1]
[175, 5]
[176, 0]
[176, 4]
[177, 1]
[178, 1]
[180, 0]
[180, 1]
[181, 2]
[181, 3]
[182, 0]
[185, 0]
[185, 4]
[186, 4]
[187, 1]
[188, 5]
[188, 7]
[189, 3]
[191, 0]
[192, 0]
[196, 0]
[196, 3]
[198, 1]
[198, 3]
[199, 0]
[200, 0]
[200, 1]
[201, 1]
[201, 2]
[201, 3]
[201, 4]
[203, 0]
[203, 2]
[204, 1]
[204, 3]
[204, 4]
[204, 6]
[204, 7]
[208, 1]
[209, 2]
[210, 0]
[211, 2]
[211, 3]
[213, 0]
[213, 4]
[213, 5]
[213, 7]
[216, 0]
[216, 7]
[217, 0]
[217, 1]
[217, 2]
[217, 5]
[217, 8]
[218, 2]
[221, 0]
[221, 3]
[221, 5]
[221, 6]
[221, 7]
[222, 0]
[224, 2]
[224, 4]
[224, 5]
[224, 6]
[225, 2]
[228, 1]
[228, 4]
[231, 1]
[233, 1]
[235, 0]
[236, 0]
[236, 1]
[236, 3]
[236, 6]
[237, 0]
[238, 1]
[239, 1]
[243, 0]
[243, 1]
[243, 2]
[244, 0]
[244, 1]
[245, 1]
[245, 3]
[245, 4]
[247, 0]
[247, 1]
[247, 3]
[247, 4]
[248, 0]
[249, 1]
[251, 1]
[251, 2]
[251, 3]
[251, 6]
[252, 0]
[252, 1]
[253, 1]
[254, 0]
[255, 1]
[256, 1]
[258, 0]
[258, 1]
[259, 0]
[259, 2]
[262, 0]
[262, 1]
[264, 0]
[264, 2]
[265, 2]
[266, 2]
[269, 0]
[269, 2]
[270, 1]
[270, 2]
[270, 3]
[273, 2]
[273, 3]
[275, 2]
[284, 0]
[284, 1]
[284, 2]
[284, 3]
[284, 4]
[284, 6]
[285, 0]
[286, 0]
[288, 4]
[288, 5]
[290, 6]
[290, 7]
[292, 1]
[293, 0]
[293, 2]
[294, 3]
[294, 5]
[294, 7]
[295, 3]
[296, 1]
[296, 2]
[297, 2]
[298, 0]
[298, 2]
[299, 1]
[299, 2]
[299, 3]
[299, 4]
[302, 2]
[303, 1]
[306, 1]
[306, 4]
[309, 0]
[309, 3]
[310, 1]
[310, 2]
[310, 4]
[311, 0]
[312, 0]
[314, 2]
[315, 0]
[315, 2]
[316, 1]
[316, 3]
[316, 5]
[317, 0]
[319, 0]
[320, 0]
[320, 3]
[322, 0]
[322, 1]
[324, 1]
[325, 7]
[326, 1]
[327, 3]
[327, 4]
[327, 5]
[328, 1]
[328, 9]
[330, 0]
[336, 0]
[337, 0]
[338, 3]
[339, 0]
[340, 0]
[344, 2]
[346, 0]
[346, 1]
[347, 0]
[347, 1]
[347, 2]
[349, 2]
[350, 1]
[351, 1]
[355, 3]
[355, 4]
[358, 0]
[360, 1]
[364, 4]
[365, 0]
[366, 1]
[366, 3]
[366, 4]
[367, 1]
[368, 1]
[368, 3]
[368, 4]
[368, 6]
[369, 1]
[369, 2]
[369, 5]
[372, 0]
[372, 2]
[374, 2]
[374, 3]
[375, 1]
[377, 0]
[378, 2]
[378, 4]
[380, 2]
[381, 0]
[382, 1]
[384, 2]
[385, 1]
[385, 2]
[386, 1]
[387, 0]
[388, 2]
[390, 0]
[390, 2]
[390, 3]
[391, 0]
[392, 0]
[392, 1]
[393, 0]
[393, 2]
[394, 1]
[394, 3]
[395, 1]
[395, 3]
[397, 0]
[398, 2]
[399, 3]
[399, 4]
[400, 0]
[404, 0]
[405, 1]
[405, 3]
[405, 5]
[406, 1]
[406, 4]
[406, 5]
[407, 0]
[407, 1]
[408, 0]
