[4, 1]
[409, 4]
[409, 5]
[409, 6]
[412, 1]
[414, 1]
[415, 0]
[415, 1]
[416, 0]
[418, 0]
[419, 1]
[419, 3]
[421, 0]
[425, 1]
[425, 2]
[425, 4]
[429, 0]
[429, 2]
[430, 0]
[430, 1]
[430, 2]
[430, 5]
[432, 0]
[432, 3]
[433, 0]
[433, 1]
[434, 1]
[436, 3]
[437, 1]
[438, 0]
[438, 2]
[440, 0]
[440, 1]
[441, 1]
[442, 2]
[442, 3]
[443, 0]
[444, 1]
[446, 1]
[446, 2]
[446, 3]
[446, 4]
[446, 9]
[446, 10]
[447, 1]
[447, 2]
[447, 4]
[447, 5]
[453, 0]
[453, 1]
[453, 2]
[453, 3]
[453, 4]
[453, 5]
[453, 6]
[453, 7]
[455, 2]
[455, 3]
[456, 0]
[458, 0]
[458, 1]
[458, 4]
[458, 5]
[459, 2]
[462, 2]
[465, 0]
[467, 0]
[468, 0]
[470, 2]
[470, 3]
[471, 0]
[471, 2]
[471, 3]
[472, 0]
[472, 1]
[473, 3]
[475, 0]
[475, 1]
[481, 1]
[483, 0]
[488, 0]
[488, 1]
[489, 1]
[491, 0]
[493, 1]
[493, 4]
[499, 0]
[499, 5]
[500, 0]
[500, 1]
[500, 4]
[500, 6]
[503, 1]
[504, 0]
[504, 1]
[505, 1]
[508, 0]
[510, 1]
[512, 0]
[512, 1]
[512, 2]
[513, 0]
[513, 2]
[515, 3]
[518, 0]
[519, 0]
[519, 4]
[520, 1]
[521, 1]
[522, 1]
[522, 4]
[522, 5]
[522, 7]
[523, 0]
[525, 1]
[525, 3]
[526, 0]
[526, 1]
[527, 3]
[527, 4]
[528, 0]
[528, 1]
[528, 2]
[529, 1]
[532, 0]
[532, 1]
[532, 3]
[534, 0]
[534, 1]
[534, 2]
[534, 3]
[534, 6]
[534, 7]
[534, 8]
[535, 0]
[535, 1]
[536, 0]
[545, 1]
[546, 0]
[547, 0]
[550, 0]
[552, 3]
[553, 0]
[553, 2]
[553, 4]
[554, 1]
[558, 1]
[559, 2]
[560, 0]
[561, 0]
[562, 1]
[562, 3]
[563, 1]
[565, 1]
[569, 0]
[569, 2]
[570, 0]
[577, 2]
[577, 3]
[580, 8]
[581, 2]
[582, 0]
[583, 2]
[584, 0]
[584, 1]
[584, 3]
[585, 0]
[585, 6]
[587, 0]
[587, 3]
[587, 4]
[587, 5]
[588, 0]
[588, 2]
[589, 1]
[590, 1]
[590, 3]
[591, 3]
[594, 2]
[596, 2]
[596, 3]
[600, 0]
[600, 2]
[603, 0]
[603, 4]
[603, 8]
[604, 0]
[608, 1]
[609, 3]
[613, 1]
[613, 2]
[614, 0]
[614, 2]
[614, 3]
[614, 5]
[616, 3]
[617, 0]
[617, 1]
[618, 1]
[621, 0]
[621, 2]
[622, 0]
[623, 0]
[623, 1]
[624, 0]
[625, 0]
[626, 1]
[628, 1]
[628, 2]
[629, 0]
[631, 0]
[635, 1]
[636, 0]
[636, 1]
[638, 1]
[638, 2]
[639, 1]
[640, 1]
[641, 1]
[641, 4]
[642, 2]
[642, 3]
[642, 5]
[643, 0]
[646, 3]
[647, 4]
[648, 3]
[649, 1]
[651, 0]
[653, 1]
[654, 1]
[655, 0]
[656, 1]
[657, 0]
[658, 4]
[659, 0]
[660, 2]
[661, 3]
[662, 0]
[662, 1]
[662, 2]
[662, 4]
[662, 5]
[662, 6]
[663, 0]
[663, 1]
[663, 4]
[664, 0]
[664, 1]
[664, 2]
[665, 0]
[665, 1]
[665, 2]
[665, 3]
[670, 0]
[670, 1]
[671, 0]
[673, 1]
[674, 1]
[674, 3]
[674, 5]
[674, 7]
[675, 0]
[676, 2]
[677, 2]
[677, 3]
[679, 3]
[680, 2]
[682, 0]
[682, 4]
[683, 3]
[686, 0]
[686, 1]
[686, 3]
[687, 2]
[689, 0]
[690, 0]
[691, 2]
[692, 0]
[692, 1]
[692, 3]
[692, 4]
[693, 1]
[693, 2]
[694, 1]
[695, 0]
[695, 2]
[695, 4]
[696, 0]
[697, 0]
[699, 0]
[700, 0]
[701, 0]
[702, 1]
[703, 0]
[703, 4]
[703, 5]
[704, 0]
[704, 1]
[706, 1]
[706, 2]
[707, 1]
[711, 1]
[712, 3]
[713, 1]
[715, 0]
[716, 1]
[716, 3]
[716, 5]
[717, 0]
[717, 1]
[717, 2]
[717, 4]
[718, 3]
[720, 0]
[721, 0]
[723, 0]
[723, 1]
[723, 2]
[723, 3]
[724, 0]
[725, 0]
[725, 2]
[725, 4]
[726, 0]
[727, 2]
[729, 0]
[729, 2]
[730, 3]
[731, 1]
[731, 5]
[732, 0]
[732, 1]
[732, 3]
[734, 2]
[740, 2]
[742, 1]
[745, 0]
[745, 3]
[746, 0]
[746, 1]
[746, 4]
[751, 0]
[754, 1]
[754, 3]
[755, 2]
[763, 0]
[764, 0]
[764, 3]
[764, 4]
[766, 0]
[768, 2]
[768, 3]
[768, 4]
[770, 1]
[771, 1]
[772, 0]
[772, 3]
[776, 0]
[777, 1]
[777, 2]
[778, 2]
[779, 0]
[779, 1]
[780, 1]
[780, 2]
[781, 1]
[782, 1]
[782, 2]
[783, 1]
[784, 1]
[789, 0]
[789, 3]
[789, 5]
[790, 0]
[791, 1]
[792, 2]
[793, 3]
[793, 4]
[794, 0]
[796, 0]
[797, 2]
[797, 3]
[798, 0]
[798, 1]
[799, 0]
[799, 2]
[800, 1]
[800, 3]
[801, 0]
[801, 2]
[801, 3]
[802, 0]
[803, 0]
[803, 1]
[804, 3]
[804, 4]
[805, 4]
[806, 1]
[806, 2]
[808, 0]
[811, 0]
[811, 4]
[812, 1]
[815, 0]
[815, 1]
[815, 3]
[818, 0]
[818, 1]
[819, 3]
[820, 3]
[822, 0]
[822, 2]
[824, 0]
[825, 1]
[826, 0]
[826, 1]
[828, 0]
[828, 2]
[829, 0]
[829, 1]
[831, 1]
[831, 2]
[832, 1]
[833, 1]
[834, 0]
[837, 2]
[840, 1]
[840, 4]
[841, 1]
[841, 2]
[841, 3]
[842, 3]
[843, 0]
[844, 1]
[848, 2]
[851, 1]
[851, 4]
[851, 10]
[852, 0]
[853, 0]
[853, 1]
[855, 0]
[856, 2]
[856, 4]
[860, 2]
[860, 3]
[860, 6]
[861, 2]
[861, 3]
[862, 0]
[865, 0]
[867, 2]
[867, 3]
[868, 0]
[868, 1]
[870, 1]
[870, 4]
[871, 0]
[871, 3]
[872, 0]
[872, 3]
[874, 1]
[874, 2]
[876, 1]
[876, 2]
[877, 0]
[877, 1]
[877, 6]
[878, 0]
[878, 2]
[878, 3]
[879, 3]
[882, 1]
[882, 2]
[884, 1]
[886, 1]
[887, 1]
[888, 0]
[888, 1]
[891, 0]
[892, 0]
[892, 1]
[892, 3]
[892, 5]
[892, 6]
[894, 0]
[894, 1]
[894, 2]
[897, 0]
[897, 1]
[897, 5]
[899, 0]
[899, 2]
[899, 4]
[901, 2]
[902, 4]
[903, 1]
[903, 2]
[905, 1]
[906, 0]
[906, 1]
[907, 3]
[907, 4]
[910, 0]
[910, 1]
[910, 2]
[914, 0]
[915, 0]
[915, 1]
[916, 3]
[919, 0]
[920, 0]
[921, 0]
[922, 2]
[922, 3]
[923, 1]
[925, 4]
[925, 6]
[926, 0]
[926, 1]
[927, 1]
[927, 2]
[930, 0]
[931, 1]
[931, 3]
[932, 1]
[934, 1]
[934, 2]
[938, 0]
[939, 4]
[940, 0]
[940, 2]
[940, 3]
[940, 4]
[940, 6]
[941, 1]
[942, 0]
[943, 0]
[943, 5]
[945, 0]
[945, 2]
[945, 3]
[946, 0]
[947, 1]
[947, 2]
[947, 3]
[947, 5]
[947, 6]
[947, 8]
[947, 9]
[948, 1]
[952, 1]
[952, 2]
[954, 0]
[956, 0]
[958, 0]
[959, 3]
[959, 5]
[962, 0]
[962, 1]
[962, 2]
[964, 5]
[965, 0]
[966, 1]
[969, 2]
[970, 0]
[970, 1]
[971, 0]
[971, 1]
[973, 2]
[973, 3]
[973, 5]
[975, 0]
[977, 0]
[977, 3]
[977, 5]
[978, 1]
[978, 2]
[979, 0]
[979, 2]
[980, 0]
[981, 0]
[982, 0]
[982, 2]
[983, 0]
[983, 3]
[983, 4]
[983, 5]
[984, 5]
[986, 1]
[986, 2]
[986, 3]
[987, 0]
[988, 6]
[989, 1]
[991, 0]
[991, 2]
[991, 3]
[992, 0]
[993, 1]
[994, 0]
[995, 1]
[995, 2]
[997, 1]
[997, 2]
[997, 3]
[997, 4]
[998, 0]
[998, 1]
[1001, 1]
[1001, 3]
[1001, 5]
[1002, 2]
[1002, 5]
[1002, 7]
[1002, 8]
[1002, 9]
[1004, 0]
[1004, 1]
[1005, 3]
[1006, 2]
[1007, 2]
[1008, 0]
[1008, 1]
[1008, 5]
[1009, 2]
[1010, 4]
[1012, 1]
[1012, 2]
[1012, 3]
[1013, 1]
[1015, 0]
[1015, 2]
[1020, 1]
[1021, 4]
[1023, 0]
[1023, 3]
[1024, 0]
[1025, 0]
[1027, 0]
[1027, 1]
[1028, 3]
[1032, 0]
[1034, 0]
[1039, 1]
[1042, 0]
[1042, 2]
[1042, 3]
[1044, 0]
[1044, 2]
[1044, 3]
[1046, 0]
[1047, 0]
[1047, 1]
[1047, 2]
[1047, 3]
[1047, 5]
[1047, 9]
[1048, 0]
[1049, 2]
[1051, 0]
[1053, 0]
[1054, 0]
[1055, 1]
[1055, 2]
[1056, 0]
[1057, 4]
[1058, 1]
[1059, 2]
[1061, 1]
[1061, 2]
[1063, 4]
[1063, 5]
[1065, 2]
[1067, 2]
[1067, 3]
[1067, 4]
[1069, 1]
[1070, 0]
[1076, 1]
[1077, 2]
[1077, 3]
[1078, 2]
[1080, 1]
[1080, 3]
[1084, 0]
[1084, 3]
[1085, 2]
[1086, 0]
[1086, 5]
[1086, 7]
[1089, 0]
[1089, 1]
[1090, 2]
[1090, 3]
[1091, 1]
[1092, 0]
[1092, 3]
[1093, 7]
[1096, 0]
[1096, 2]
[1098, 2]
[1098, 3]
[1098, 4]
[1099, 1]
[1099, 4]
[1101, 0]
[1102, 0]
[1104, 3]
[1106, 0]
[1107, 3]
[1107, 5]
[1109, 3]
[1110, 0]
[1111, 4]
[1112, 0]
[1114, 3]
[1115, 1]
[1117, 0]
[1117, 2]
[1118, 1]
[1120, 3]
[1123, 0]
[1123, 1]
[1123, 2]
[1123, 4]
[1124, 1]
[1124, 3]
[1125, 0]
[1126, 2]
[1126, 5]
[1126, 6]
[1127, 0]
[1128, 0]
[1128, 1]
[1129, 1]
[1131, 1]
[1132, 1]
[1133, 0]
[1133, 1]
[1135, 0]
[1135, 2]
[1136, 0]
[1136, 3]
[1137, 3]
[1138, 0]
[1139, 0]
[1139, 1]
[1139, 2]
[1141, 3]
[1141, 4]
[1142, 0]
[1142, 1]
[1142, 3]
[1142, 4]
[1144, 1]
[1144, 2]
[1145, 0]
[1146, 1]
[1147, 0]
[1147, 1]
[1147, 2]
[1148, 1]
[1149, 3]
[1150, 3]
[1150, 5]
[1152, 2]
[1152, 3]
[1153, 1]
[1155, 5]
[1157, 0]
[1161, 2]
[1161, 3]
[1162, 2]
[1162, 3]
[1162, 5]
[1163, 0]
[1164, 6]
[1165, 0]
[1165, 1]
[1165, 3]
[1167, 0]
[1167, 3]
[1171, 0]
[1173, 0]
[1176, 0]
[1178, 0]
[1178, 2]
[1180, 0]
[1180, 1]
[1182, 2]
[1183, 0]
[1186, 5]
[1186, 6]
[1187, 0]
[1188, 0]
[1188, 2]
[1189, 0]
[1190, 0]
[1190, 1]
[1190, 2]
[1190, 3]
[1192, 0]
[1193, 0]
[1194, 1]
[1194, 3]
[1194, 4]
[1195, 0]
[1197, 1]
[1197, 3]
[1197, 4]
[1199, 3]
[1199, 4]
[1200, 0]
[1200, 2]
