[14, 0]
[15, 1]
[19, 0]
[27, 3]
[40, 2]
[51, 1]
[65, 0]
[71, 0]
[77, 3]
[84, 0]
[89, 0]
[95, 1]
[95, 4]
[106, 0]
[114, 4]
[123, 3]
[134, 0]
[134, 1]
[138, 2]
[142, 1]
[145, 0]
[162, 0]
[190, 0]
[194, 2]
[204, 0]
[206, 0]
[221, 2]
[221, 4]
[224, 3]
[236, 5]
[247, 2]
[250, 1]
[251, 0]
[254, 1]
[265, 1]
[265, 3]
[265, 5]
[270, 0]
[278, 0]
[285, 2]
[301, 0]
[303, 0]
[305, 0]
[309, 2]
[311, 1]
[325, 5]
[339, 4]
[343, 3]
[359, 0]
[361, 0]
[362, 4]
[381, 1]
[382, 3]
[406, 0]
[406, 2]
[409, 0]
[421, 1]
[422, 4]
[427, 4]
[429, 1]
[439, 0]
[441, 0]
[448, 0]
[455, 5]
[456, 2]
[458, 2]
[460, 0]
[496, 1]
[506, 1]
[510, 3]
[516, 2]
[522, 6]
[534, 4]
[539, 0]
[541, 0]
[544, 2]
[545, 2]
[556, 1]
[557, 1]
[567, 2]
[582, 4]
[587, 1]
[587, 2]
[600, 1]
[600, 4]
[601, 0]
[601, 1]
[641, 3]
[663, 3]
[671, 4]
[674, 9]
[698, 2]
[700, 1]
[701, 1]
[716, 2]
[736, 2]
[743, 2]
[753, 0]
[756, 1]
[766, 1]
[774, 0]
[783, 2]
[794, 2]
[799, 1]
[804, 0]
[804, 1]
[804, 2]
[808, 1]
[808, 4]
[820, 0]
[845, 4]
[848, 1]
[849, 5]
[856, 0]
[858, 1]
[859, 0]
[860, 1]
[864, 1]
[866, 0]
[870, 5]
[877, 4]
[877, 5]
[886, 0]
[889, 0]
[892, 2]
[924, 0]
[931, 2]
[939, 1]
[951, 1]
[953, 0]
[964, 2]
[967, 0]
[971, 2]
[973, 1]
[977, 6]
[980, 1]
[990, 2]
[993, 3]
[1000, 1]
[1001, 2]
[1015, 1]
[1017, 2]
[1022, 3]
[1023, 4]
[1028, 2]
[1037, 0]
[1039, 2]
[1049, 1]
[1049, 3]
[1058, 0]
[1065, 0]
[1077, 1]
[1079, 0]
[1080, 2]
[1080, 5]
[1081, 3]
[1083, 1]
[1090, 0]
[1096, 1]
[1096, 3]
[1098, 0]
[1098, 1]
[1105, 6]
[1106, 2]
[1109, 0]
[1121, 2]
[1146, 2]
[1162, 4]
[1171, 2]
[1171, 3]
[1176, 1]
[1176, 2]
[1176, 3]
[1185, 1]
[1200, 1]
