[1, 1]
[10, 3]
[22, 0]
[27, 4]
[34, 0]
[36, 4]
[43, 1]
[51, 2]
[56, 0]
[63, 3]
[69, 0]
[69, 1]
[69, 5]
[70, 7]
[71, 7]
[82, 2]
[83, 5]
[93, 1]
[93, 2]
[96, 7]
[101, 3]
[105, 2]
[107, 4]
[114, 1]
[121, 4]
[121, 7]
[122, 5]
[137, 0]
[137, 1]
[143, 0]
[144, 0]
[146, 0]
[149, 1]
[156, 3]
[156, 5]
[157, 0]
[157, 1]
[181, 0]
[184, 0]
[184, 1]
[185, 1]
[185, 2]
[193, 0]
[193, 1]
[196, 0]
[196, 1]
[210, 0]
[212, 0]
[212, 1]
[214, 0]
[214, 1]
[226, 2]
[235, 2]
[236, 5]
[239, 0]
[239, 2]
[241, 2]
[243, 0]
[243, 1]
[247, 1]
[249, 3]
[253, 0]
[255, 0]
[259, 2]
[261, 2]
[261, 3]
[263, 0]
[265, 2]
[266, 0]
[273, 5]
[274, 8]
[275, 1]
[279, 4]
[281, 2]
[302, 3]
[304, 1]
[304, 3]
[305, 0]
[308, 0]
[311, 0]
[316, 0]
[319, 0]
[320, 0]
[326, 0]
[329, 2]
[330, 1]
[338, 2]
[340, 0]
[349, 3]
[354, 0]
[357, 3]
[367, 1]
[367, 4]
[382, 1]
[385, 8]
[385, 10]
[386, 2]
[392, 0]
[395, 3]
[396, 2]
[404, 2]
[407, 6]
[408, 1]
[409, 1]
[410, 0]
[410, 3]
[412, 1]
[413, 0]
[415, 5]
[416, 0]
[416, 2]
[423, 0]
[423, 1]
[434, 1]
[434, 5]
[448, 0]
[454, 0]
[457, 2]
[461, 1]
[461, 3]
[461, 5]
[467, 1]
[467, 2]
[468, 2]
[468, 4]
[472, 6]
[477, 0]
[479, 0]
