[1, 5]
[2, 0]
[2, 2]
[2, 3]
[5, 1]
[7, 0]
[7, 1]
[7, 2]
[7, 4]
[7, 5]
[8, 1]
[8, 4]
[8, 8]
[8, 10]
[9, 0]
[9, 3]
[9, 4]
[9, 5]
[10, 1]
[10, 7]
[12, 3]
[13, 1]
[13, 3]
[13, 5]
[13, 8]
[14, 0]
[14, 7]
[14, 8]
[14, 11]
[15, 0]
[16, 3]
[16, 4]
[18, 1]
[18, 2]
[21, 2]
[21, 4]
[21, 6]
[22, 5]
[23, 2]
[24, 3]
[24, 4]
[26, 2]
[27, 0]
[28, 1]
[28, 4]
[28, 6]
[29, 1]
[29, 6]
[30, 1]
[31, 4]
[31, 5]
[32, 5]
[35, 4]
[36, 0]
[36, 4]
[38, 0]
[39, 2]
[39, 3]
[39, 4]
[39, 5]
[39, 8]
[39, 10]
[41, 0]
[41, 5]
[43, 0]
[43, 7]
[44, 0]
[45, 1]
[48, 3]
[49, 2]
[49, 3]
[50, 0]
[51, 2]
[51, 3]
[51, 4]
[52, 1]
[52, 3]
[52, 6]
[53, 0]
[57, 0]
[57, 3]
[58, 0]
[58, 6]
[60, 5]
[62, 0]
[62, 1]
[62, 4]
[64, 0]
[64, 8]
[65, 7]
[67, 0]
[69, 2]
[70, 3]
[72, 3]
[72, 8]
[73, 1]
[73, 5]
[74, 0]
[74, 2]
[76, 2]
[76, 5]
[78, 5]
[80, 3]
[82, 0]
[85, 1]
[86, 2]
[86, 3]
[88, 4]
[88, 7]
[89, 1]
[89, 5]
[93, 0]
[99, 0]
[99, 1]
[99, 2]
[99, 3]
[99, 6]
[100, 0]
[104, 3]
[105, 1]
[106, 2]
[106, 3]
[106, 4]
[107, 0]
[107, 3]
[107, 5]
[108, 1]
[108, 2]
[109, 4]
[110, 1]
[114, 1]
[115, 0]
[115, 4]
[116, 2]
[117, 0]
[117, 4]
[118, 2]
[118, 5]
[119, 3]
[122, 0]
[122, 2]
[125, 5]
[126, 1]
[127, 2]
[127, 3]
[128, 3]
[128, 10]
[129, 2]
[129, 4]
[130, 7]
[134, 1]
[135, 1]
[136, 3]
[140, 3]
[143, 2]
[143, 4]
[144, 1]
[145, 0]
[145, 2]
[146, 0]
[146, 2]
[146, 3]
[147, 0]
[147, 3]
[148, 2]
[148, 3]
[149, 4]
[151, 4]
[153, 3]
[154, 0]
[154, 4]
[156, 0]
[156, 2]
[157, 3]
[159, 2]
[161, 0]
[162, 1]
[162, 3]
[164, 0]
[165, 2]
[166, 2]
[166, 7]
[167, 5]
[168, 2]
[169, 7]
[170, 3]
[172, 0]
[173, 2]
[175, 0]
[175, 3]
[176, 6]
[177, 4]
[179, 3]
[180, 2]
[181, 0]
[181, 3]
[181, 4]
[183, 0]
[188, 1]
[188, 4]
[192, 1]
[192, 7]
[193, 0]
[197, 1]
[198, 1]
[199, 8]
[199, 9]
[199, 11]
[200, 2]
[204, 7]
[206, 1]
[206, 2]
[206, 3]
[208, 3]
[209, 0]
[210, 0]
[210, 3]
[210, 5]
[213, 3]
[215, 6]
[226, 0]
[229, 3]
[230, 1]
[230, 3]
[232, 0]
[232, 2]
[233, 3]
[233, 6]
[236, 2]
[236, 4]
[236, 6]
[237, 1]
[242, 1]
[243, 0]
[245, 4]
[246, 5]
[247, 2]
[247, 4]
[248, 0]
[249, 0]
[250, 0]
[250, 1]
[250, 3]
[250, 4]
[251, 0]
[252, 1]
[252, 5]
[254, 0]
[254, 1]
[255, 1]
[258, 1]
[261, 3]
[261, 4]
[263, 0]
[264, 4]
[265, 4]
[267, 1]
[268, 2]
[270, 0]
[271, 6]
[272, 3]
[273, 0]
[275, 0]
[276, 1]
[277, 0]
[279, 5]
[286, 2]
[286, 4]
[287, 2]
[288, 0]
[288, 2]
[288, 3]
[289, 4]
[289, 8]
[289, 10]
[289, 11]
[293, 1]
[293, 2]
[293, 5]
[293, 8]
[294, 3]
[295, 2]
[295, 3]
[296, 2]
[300, 6]
[301, 5]
[303, 6]
[304, 1]
[305, 0]
[306, 6]
[306, 10]
[311, 2]
[312, 2]
[315, 0]
[317, 0]
[318, 2]
[319, 4]
[320, 2]
[320, 3]
[320, 5]
[320, 6]
[321, 1]
[321, 3]
[322, 4]
[323, 1]
[323, 3]
[323, 4]
[325, 4]
[326, 0]
[326, 2]
[328, 0]
[328, 5]
[329, 0]
[329, 1]
[329, 2]
[329, 4]
[331, 3]
[335, 2]
[337, 2]
[338, 0]
[338, 1]
[338, 2]
[340, 0]
[341, 5]
[346, 6]
[349, 2]
