[5, 2]
[7, 8]
[19, 2]
[21, 4]
[23, 2]
[63, 3]
[65, 10]
[66, 9]
[73, 3]
[77, 1]
[79, 1]
[79, 6]
[82, 0]
[82, 1]
[102, 3]
[112, 10]
[115, 2]
[119, 2]
[120, 3]
[132, 8]
[133, 0]
[137, 2]
[137, 5]
[137, 6]
[140, 1]
[141, 0]
[144, 3]
[158, 1]
[159, 0]
[160, 0]
[164, 7]
[165, 4]
[165, 5]
[172, 0]
[172, 6]
[172, 7]
[172, 8]
[172, 9]
[174, 4]
[174, 5]
[185, 1]
[204, 0]
[214, 1]
[216, 1]
[216, 2]
[220, 0]
[225, 0]
[242, 1]
[255, 0]
[259, 3]
[263, 1]
[266, 0]
[266, 2]
[266, 3]
[267, 0]
[276, 0]
[277, 6]
[278, 4]
[285, 2]
[287, 0]
[288, 1]
[289, 1]
[291, 0]
[292, 4]
[292, 7]
[296, 1]
[307, 0]
[318, 5]
[319, 0]
[321, 0]
[325, 2]
[329, 0]
[338, 0]
[348, 2]
[351, 6]
[358, 0]
[368, 6]
[374, 5]
[377, 8]
[379, 0]
[380, 0]
[380, 5]
[386, 0]
[392, 5]
[398, 3]
[403, 0]
[405, 0]
[405, 1]
[405, 3]
[405, 6]
[406, 1]
[409, 6]
[413, 3]
[416, 0]
[420, 5]
[431, 7]
[433, 0]
[434, 0]
[434, 3]
[444, 1]
[460, 2]
[460, 3]
[461, 0]
[466, 6]
[469, 3]
[471, 1]
[471, 2]
[471, 3]
[474, 0]
[479, 0]
[480, 1]
[484, 2]
[487, 1]
[492, 5]
[494, 6]
[497, 7]
[499, 1]
[500, 5]
[508, 2]
[509, 1]
[510, 0]
[513, 2]
[517, 1]
[518, 2]
[519, 2]
[521, 0]
[531, 2]
[533, 2]
[535, 0]
[535, 5]
[536, 1]
[536, 4]
[536, 5]
[536, 6]
[538, 4]
[538, 7]
[539, 0]
[541, 5]
[544, 1]
[544, 4]
[545, 0]
[550, 3]
[550, 4]
[550, 7]
[552, 0]
[553, 0]
[553, 5]
[557, 1]
[557, 3]
[567, 5]
[567, 6]
[569, 4]
[570, 1]
[592, 6]
[597, 3]
[605, 0]
[608, 2]
[608, 3]
[611, 1]
[614, 4]
[619, 3]
[624, 1]
[632, 1]
[638, 4]
[638, 5]
[647, 0]
[650, 2]
[650, 4]
[650, 8]
[654, 2]
[657, 1]
[666, 1]
[667, 0]
[670, 1]
[673, 3]
[675, 1]
[677, 1]
[680, 0]
[682, 1]
[682, 2]
[682, 5]
[685, 0]
[689, 1]
[691, 0]
[691, 3]
[694, 0]
[695, 1]
[698, 1]
[698, 3]
[700, 2]
[713, 1]
[717, 0]
[723, 0]
[726, 0]
[726, 1]
[729, 0]
[735, 3]
[738, 0]
[742, 0]
[742, 5]
[744, 2]
[747, 8]
[749, 1]
[750, 0]
[754, 0]
[755, 0]
[762, 0]
[766, 0]
[778, 4]
[780, 0]
[787, 0]
[790, 1]
[791, 2]
[799, 1]
[799, 2]
[800, 2]
[803, 1]
[820, 0]
[822, 0]
[824, 1]
[839, 1]
[839, 2]
[840, 6]
[845, 3]
[847, 3]
[849, 8]
[857, 2]
[870, 3]
[871, 0]
[872, 2]
[875, 2]
[877, 1]
[888, 3]
[890, 2]
[897, 2]
[906, 1]
[918, 0]
[918, 3]
[923, 2]
[923, 3]
[927, 1]
[929, 2]
[930, 4]
[941, 0]
[942, 0]
[943, 4]
[949, 1]
[950, 4]
[950, 5]
[953, 0]
[958, 2]
[958, 3]
[958, 4]
[962, 3]
[969, 0]
[969, 1]
[970, 1]
[970, 2]
[971, 2]
[971, 4]
[977, 0]
[980, 2]
[981, 0]
[983, 0]
[987, 1]
