[1, 4]
[8, 2]
[17, 0]
[27, 3]
[37, 0]
[37, 1]
[37, 4]
[38, 1]
[38, 2]
[48, 6]
[49, 0]
[50, 2]
[51, 4]
[56, 3]
[57, 0]
[67, 3]
[82, 4]
[84, 2]
[84, 6]
[85, 1]
[90, 2]
[90, 3]
[90, 5]
[94, 2]
[104, 1]
[110, 0]
[116, 0]
[118, 2]
[118, 3]
[122, 0]
[127, 1]
[127, 9]
[127, 13]
[134, 2]
[134, 4]
[137, 0]
[143, 4]
[144, 4]
[147, 0]
[148, 0]
[149, 0]
[160, 0]
[162, 1]
[167, 1]
[168, 0]
[175, 1]
[178, 1]
[182, 3]
[183, 1]
[188, 0]
[194, 5]
[195, 0]
[196, 3]
[198, 2]
[206, 0]
[207, 2]
[207, 3]
[207, 6]
[208, 0]
[208, 3]
[223, 0]
[233, 2]
[236, 0]
[238, 0]
[239, 1]
[239, 3]
[245, 3]
[246, 0]
[253, 2]
[255, 3]
[258, 1]
[260, 3]
[262, 0]
[262, 1]
[262, 4]
[263, 0]
[263, 1]
[264, 1]
[267, 6]
[269, 0]
[269, 2]
[269, 5]
[282, 3]
[282, 4]
[285, 2]
[285, 3]
[285, 4]
[285, 5]
[291, 0]
[291, 6]
[292, 2]
[294, 2]
[301, 0]
[303, 3]
[311, 2]
[312, 1]
[313, 0]
[317, 0]
[319, 0]
[321, 2]
[322, 2]
[322, 3]
[325, 0]
[329, 1]
[343, 0]
[343, 1]
[343, 3]
[344, 2]
[344, 3]
[354, 1]
[356, 1]
[362, 8]
[367, 1]
[367, 3]
[368, 0]
[368, 7]
[370, 2]
[375, 5]
[381, 4]
[381, 5]
[385, 2]
[391, 2]
[391, 6]
[399, 1]
[406, 2]
[408, 2]
[412, 1]
[412, 4]
[412, 5]
[416, 0]
[416, 2]
[416, 3]
[418, 0]
[424, 1]
[425, 4]
[429, 1]
[432, 1]
[436, 0]
[436, 2]
[436, 3]
[442, 4]
[443, 2]
[443, 4]
[445, 1]
[446, 1]
[446, 3]
[447, 3]
[449, 1]
[449, 3]
[452, 2]
[459, 0]
[459, 2]
[461, 0]
[461, 4]
[465, 1]
[473, 1]
[476, 4]
[477, 0]
[485, 0]
[486, 2]
[486, 3]
[486, 5]
[486, 7]
[494, 3]
[494, 4]
[496, 5]
[500, 2]
[502, 1]
[504, 0]
[504, 6]
[507, 1]
[509, 0]
[509, 5]
[509, 7]
[513, 1]
[518, 0]
[518, 3]
[531, 1]
[531, 2]
[531, 3]
[533, 1]
[541, 0]
[542, 1]
[545, 3]
[547, 2]
[556, 5]
[556, 6]
[557, 2]
[559, 1]
[561, 3]
[562, 1]
[563, 3]
[575, 0]
[577, 3]
[577, 4]
[585, 3]
[588, 1]
[590, 3]
[593, 4]
[600, 4]
[600, 5]
[609, 0]
[609, 5]
[613, 3]
[613, 7]
[617, 1]
[619, 1]
[621, 2]
[622, 0]
[627, 3]
[639, 0]
[648, 4]
[649, 3]
[654, 1]
[654, 3]
[656, 1]
[657, 4]
[661, 1]
[665, 0]
[667, 1]
[667, 2]
[668, 0]
[670, 1]
[672, 0]
[676, 4]
[677, 1]
[680, 0]
[682, 2]
[683, 3]
[687, 0]
[687, 3]
[696, 2]
[698, 0]
[699, 0]
[705, 2]
[711, 2]
[716, 1]
[719, 5]
[725, 3]
[725, 6]
[726, 0]
[731, 0]
[736, 3]
[737, 3]
[737, 4]
[737, 5]
[737, 7]
[738, 2]
[747, 1]
[749, 1]
[750, 1]
[750, 7]
[750, 8]
[753, 8]
[754, 1]
[755, 2]
[756, 5]
[770, 1]
[775, 2]
[779, 2]
[779, 3]
[780, 0]
[787, 1]
[787, 3]
[793, 0]
[798, 0]
[805, 0]
[812, 5]
[812, 6]
[815, 2]
[816, 3]
[819, 2]
[819, 3]
[825, 1]
[828, 0]
[828, 3]
[830, 4]
[830, 5]
[831, 4]
[834, 1]
[834, 2]
[834, 4]
[835, 0]
[835, 2]
[837, 1]
[837, 2]
[837, 4]
[840, 2]
[845, 0]
[845, 1]
[845, 2]
[848, 1]
[848, 3]
[849, 1]
[850, 2]
[850, 6]
[860, 0]
[861, 2]
[862, 0]
[864, 0]
[881, 0]
[881, 1]
[881, 3]
[884, 0]
[885, 0]
[886, 2]
[890, 6]
[891, 1]
[894, 1]
[894, 2]
[894, 5]
[897, 5]
[897, 6]
[899, 0]
[899, 1]
[903, 0]
[905, 0]
[906, 1]
[911, 3]
[914, 1]
[914, 2]
[929, 3]
[930, 2]
[932, 3]
[933, 0]
[934, 2]
[941, 2]
[946, 0]
[946, 1]
[950, 4]
[958, 1]
[959, 1]
[961, 0]
[961, 1]
[964, 4]
[968, 3]
[971, 0]
[971, 8]
[975, 1]
[980, 0]
[983, 2]
[989, 2]
[994, 2]
[1000, 0]
[1003, 2]
[1004, 0]
[1005, 4]
[1012, 3]
[1021, 0]
[1024, 1]
[1025, 1]
[1028, 2]
[1031, 0]
[1035, 1]
[1040, 5]
[1056, 2]
[1056, 4]
[1061, 0]
[1068, 4]
[1070, 1]
[1070, 3]
[1070, 4]
[1070, 5]
[1071, 4]
[1074, 0]
[1074, 3]
[1076, 1]
[1077, 0]
[1086, 3]
[1094, 3]
[1094, 4]
[1095, 4]
[1098, 2]
[1098, 4]
[1100, 2]
[1100, 3]
[1101, 3]
[1106, 1]
[1107, 2]
[1108, 0]
[1108, 1]
[1114, 0]
[1122, 3]
[1128, 1]
[1131, 5]
[1133, 1]
[1138, 1]
[1138, 7]
[1144, 3]
[1144, 4]
[1144, 5]
[1146, 2]
[1146, 4]
[1150, 2]
[1158, 1]
[1158, 3]
[1163, 1]
[1169, 3]
[1177, 5]
[1177, 6]
[1180, 5]
[1180, 6]
[1180, 7]
[1182, 1]
[1183, 1]
[1183, 5]
[1183, 7]
[1189, 2]
[1194, 4]
[1195, 0]
[1195, 1]
[1195, 3]
[1200, 2]
