[1, 5]
[9, 2]
[60, 0]
[73, 0]
[74, 1]
[77, 3]
[79, 0]
[85, 2]
[87, 0]
[94, 5]
[98, 0]
[98, 1]
[107, 0]
[108, 1]
[108, 2]
[109, 4]
[116, 0]
[119, 0]
[125, 0]
[137, 1]
[140, 0]
[143, 0]
[158, 0]
[158, 3]
[159, 2]
[162, 4]
[168, 1]
[195, 2]
[197, 3]
[197, 4]
[199, 7]
[208, 2]
[220, 5]
[221, 3]
[221, 4]
[222, 5]
[235, 3]
[236, 2]
[240, 1]
[243, 6]
[246, 2]
[249, 0]
[252, 3]
[258, 0]
[260, 1]
[279, 1]
[283, 6]
[294, 1]
[301, 1]
[309, 0]
[311, 1]
[315, 1]
[324, 2]
[332, 0]
[333, 0]
[339, 0]
[352, 3]
[365, 0]
[372, 2]
[376, 4]
[397, 1]
[401, 4]
[411, 7]
[457, 6]
[476, 0]
[480, 1]
[482, 1]
[487, 2]
[488, 2]
[488, 6]
[491, 1]
[491, 5]
[503, 4]
[505, 4]
[506, 9]
[507, 1]
[508, 1]
[512, 4]
[527, 3]
[537, 0]
[537, 1]
[559, 3]
[560, 2]
[563, 0]
[564, 0]
[568, 1]
[576, 0]
[581, 1]
[593, 3]
[601, 0]
[610, 1]
[617, 2]
[620, 0]
[620, 1]
[621, 0]
[622, 1]
[623, 0]
[629, 0]
[666, 0]
[672, 3]
[674, 1]
[675, 0]
[683, 0]
[684, 0]
[686, 0]
[687, 3]
[691, 1]
[692, 1]
[702, 0]
[704, 1]
[713, 1]
[713, 2]
[718, 0]
[722, 2]
[756, 0]
[757, 0]
[757, 2]
[762, 2]
[765, 0]
[776, 0]
[805, 1]
[808, 0]
[811, 0]
[814, 1]
[820, 0]
[825, 1]
[842, 3]
[849, 0]
[873, 3]
[875, 2]
[880, 1]
[893, 2]
[907, 0]
[915, 4]
[920, 0]
[935, 1]
[943, 0]
[951, 0]
[952, 0]
[972, 0]
[973, 1]
[982, 0]
[991, 0]
[991, 1]
[995, 1]
