[11, 1]
[45, 0]
[49, 1]
[53, 1]
[114, 0]
[118, 0]
[119, 0]
[139, 2]
[141, 4]
[144, 0]
[146, 4]
[149, 0]
[167, 2]
[169, 0]
[177, 1]
[203, 1]
[205, 1]
[205, 2]
[206, 0]
[206, 1]
[208, 0]
[211, 0]
[252, 0]
[258, 0]
[279, 1]
[290, 2]
[297, 0]
[320, 0]
[329, 1]
[505, 0]
[514, 1]
[536, 1]
[561, 0]
[572, 0]
[591, 1]
[592, 2]
[606, 1]
[614, 0]
[625, 1]
[637, 5]
[639, 0]
[651, 3]
[659, 0]
[671, 0]
[706, 0]
[707, 1]
[718, 1]
[730, 0]
[739, 0]
[746, 5]
[747, 1]
[750, 0]
[750, 1]
[760, 2]
[775, 1]
[775, 2]
[776, 0]
[787, 0]
[803, 5]
[810, 4]
[832, 0]
[832, 1]
[838, 1]
[840, 0]
[850, 1]
[867, 0]
[889, 0]
[902, 2]
[920, 1]
[931, 0]
[933, 2]
[945, 4]
[952, 0]
[960, 2]
[974, 1]
[989, 1]
[1002, 0]
[1019, 0]
[1031, 0]
[1035, 0]
[1036, 0]
[1040, 0]
[1051, 1]
[1072, 3]
[1093, 4]
[1099, 0]
[1124, 1]
[1148, 1]
[1185, 0]
[1194, 0]
[1198, 2]
